Assunto	Pergunta	Resposta Padrão
Agendamento	Como reintegrar uma colaboradora que fez demissional e estava grávida? Qual exame devo realizar?	"Nesse caso, é necessário o agendamento de um atendimento assistencial para que a Medicina do Trabalho possa avaliar a documentação médica e confirmar se, de fato, haverá a necessidade de suspender a demissão e reintegrá-la ao quadro de funcionários. Caso fique constatado que a gestação se iniciou durante o vínculo de trabalho com a empresa, sugerimos agendar um exame periódico.

O único exame capaz de confirmar a gestação em curso e o tempo de evolução é a ultrassonografia transvaginal."
Agendamento	Toda empresa pode exigir o exame Beta HCG nos admissionais ou demissionais?	Não, tal exigência é expressamente proibida no Brasil. De acordo com o artigo 2º da Lei nº 9.029/95 (Lei Benedita da Silva), exigir teste, exame, laudo ou qualquer documento que ateste a existência de gravidez ou esterilização é crime, seja antes da contratação ou em qualquer outro momento da relação de emprego. A prática também é vedada pelo artigo 373-A, inciso II da CLT, que proíbe o empregador de recusar emprego, promoção ou dispensar trabalhadora grávida, exceto quando a natureza da atividade seja reconhecidamente incompatível com a gestação. Como exemplo de incompatibilidade, pode-se citar a função de técnica em radiologia, pois sabe-se que a exposição à radiação pode causar sérios riscos para o feto. Fora desse tipo de circunstância, exigir teste de gravidez de funcionárias ou candidatas a uma vaga de trabalho é prática discriminatória, podendo levar a punição de ordem criminal (detenção de um a dois anos e multa) e a uma ação de indenização por danos morais.
Agendamento	O colaborador confirma que foi atendido em rede credenciada mas o sistema consta como falta. Qual o motivo?	"Há duas formas de atendimento em clínicas credenciadas:

- Clinica com atendimento online. São clínicas que utilizam nosso sistema para atendimento. Assim, o colaborador comparece na clínica para atendimento e o seu exame é realizado diretamente no nosso sistema. No mesmo dia do atendimento constará a informação do atendimento, sendo possível a verificação do comparecimento do mesmo.

- Clínica com atendimento offline. São clínicas que não aceitaram utilizar o nosso sistema por motivos de já utilizarem sistema próprio, por baixa demanda, falta de computador na sala do médico ou outros motivos informados no início da parceria. Dessa forma, disponibilizamos o kit de atendimento manual para a clínica e, sempre que um agendamento é confirmado, ela recebe o kit por e-mail. A clínica atende o colaborador de forma manual, e combinamos com eles que, até o dia seguinte ao atendimento, o kit do colaborador será enviado para o e-mail para realizarmos a transcrição das informações. Para isso, contamos com uma Técnica de Enfermagem, que fica responsável pela cobrança diária.

Além disso, podemos ter intercorrências, na qual a clínica que atende de forma online não atendeu pelo sistema e não comunicou a nossa equipe de credenciados sobre o comparecimento do colaborador,  marcando-o como faltoso no sistema. Nesse caso, conseguimos realizar a transcrição dos atendimentos assim que ficamos ciente do ocorrido. Vale comentar que monitoramos os atendimentos do dia com as clínicas visando minimizar essa intercorrências."
Agendamento	Por que para finalidade de avaliação dos fatores psicossociais, realizamos apenas o teste palográfico e não outros testes?	"Avaliação Psicológica Ocupacional, ou Avaliação Psicossocial, não se define como uma avaliação diagnóstica. Utiliza-se questionário de anamnese psicológica, que são informações preenchidas pelo próprio colaborador, e o teste palográfico de avaliação de personalidade, que é um projetivo que auxilia na identificação de traços comportamentais, como níveis de extroversão, introversão, produtividade, entre outros. Também é levado em conta o que é mostrado no momento da avaliação. Os testes psicológicos são exames mais demorados e não possuem uma regra específica sobre qual tipo de exame deve ser feito para esse tipo de avaliação. Sendo assim, o setor de psicologia, em conformidade com CRP, definiu por utilizar esses exames em nossa grade padrão. Mas outros tipos de testes podem ser utilizados para atender as particularidades do cliente, desde que seja previamente acordado com a operação.
"
Agendamento	O que é STCW?	"Para os trabalhadores aquaviários do grupo marítimos que operam embarcações classificadas para navegação em mar aberto e apoio marítimo, devem ser adotados os padrões médicos e o modelo de Certificado Médico, como Health Certificate - Convenção Internacional sobre Padrões de Instrução e Certificação e Serviço de Quarto para Marítimos (STCW). Essas informações constam no QUADRO III da NR-30. Reforçamos que tal documento não deve interferir na elaboração do Atestado de Saúde Ocupacional (ASO).
"
Agendamento	O que é Aso Norueguês?	Trata-se do ENG-1, que é um certificado norueguês obrigatório para quem pretende trabalhar como tripulantes em determinados cruzeiros marítimos, super iates ou embarcações de bandeira norueguesa. É preciso realizar o exame com um médico aprovado pela Maritime and Coasguard Agency (MCA). Se tiver resultados adequados às exigências e o paciente for maior de idade, será emitido certificado com validade de até dois anos. O médico que emite o certificado norueguês precisa ser autorizado e aprovado pelas autoridades norueguesas para realizar exames médicos e tomar decisões de acordo com os regulamentos relativos às atividades de funcionários em navios e unidades móveis offshore.
Agendamento	As clínicas filiais possuem acessibilidade para cadeirantes e PcD?	"As unidades da BR MED que possuem acessibilidade, são: 

unidade   endereço
Presidente Vargas
Avenida Presidente Vargas, 435 - 20º andar - Centro
Barra da Tijuca
Avenida das Américas, 3.434 - Bloco 5 - 407 a 409
Angra dos Reis
Rua José Belmiro da Paixão, 314 - Parque das Palmeiras
Campos dos Goytacazes
Avenida Pelinca, 18 - Centro
Macaé
Rua Velho Campos, 1176 - Centro
Vitória
Rua das Palmeiras, 685 - 13º andar - Santa Lucia

As demais clínicas ainda não estão adequadas em termos de acessibilidade."
Agendamento	Quais são os modelos de ASO estrangeiro que a BR MED atende?	"ASO Inglês, Panamá, Ilhas Marshall e Libéria. 
Lembrando que esses tipos de ASO's (Atestado de Saúde Ocupacional) são bem parecidos e o que diferencia é o nome da bandeira.e a normatização de cada país vigente. "
Agendamento	Como solicitar a contraprova do toxicológico capilar?	A resolução da Lei 691 garante ao motorista o direito de solicitar a contraprova para aqueles casos em que os resultados do exame forem positivos. Para isso, é necessário que o profissional espere o laudo ser emitido para pedir a nova avaliação. Caso seja solicitada a contraprova, o teste é analisado de maneira diferenciada. O material coletado será analisado para identificar especificamente a substância apontada, podendo ter uma variação quantitativa. De acordo com a lei, o laboratório de análise tem a obrigatoriedade de guardar a amostra por 5 anos. Portanto, durante esse período, a contraprova pode ser pedida.
Agendamento	É possível fazer dois agendamentos para o mesmo colaborador no Sistema BR NET?	"O BR NET não permite fazer dois agendamentos de forma simultânea para o mesmo colaborador.
É recomendado colocar na observação do agendamento a necessidade do outro exame, verificando se o setor e a função do cargo constam no sistema. "
Agendamento	Como agendar o demissional e admissional em outra empresa do grupo no mesmo dia?	O sistema não permite realizar dois agendamentos de forma simultânea para o mesmo paciente. Recomenda-se agendar primeiro o exame demissional e colocar na observação do sistema a necessidade do exame admissional. É importante lembrar que deve ser verificado se o setor e função do cargo do admissional constam em sistema, para que o respectivo Aso esteja em conformidade para emissão. Essa dinâmica vale tanto para filiais da BR MED quanto para redes credenciadas.
Alteração de ASO	Quais a lista de médicos responsáveis de PCMSO que a BR MED usa atualmente em nossos programas? 	Os Médicos do Trabalho que atuam na BR MED como responsáveis pelos programas são: Dr. Fabrício Netto Loche, Dr. Gustavo Azeredo Cardoso, Dr. Antônio Carlos Ferreira Campos, Dr.  Davi Barcelos Rodrigues, Dr. Vander Vinicius Soares Corteze, Dr. Vander Vinicius Costa Corteze e Dra. Fernanda Soares de Castro Rocha.
Alteração de ASO	Como é o fluxo de alteração de exames para atendimento em rede credenciada?	Após o recebimento dos exames realizados pelo colaborador, a equipe de Técnicas de Enfermagem realiza uma segunda conferência do prontuário, analisando todos os exames dentro das particularidades de cada cliente. Quando é identificado algum exame com resultados fora do padrão estipulado pela coordenação médica, encaminhamos o prontuário ao médico coordenador da empresa para que o mesmo avalie o quadro clínico do colaborador e nos dê a conduta final para que o ASO seja liberado. As possíveis condutas são: apto, apto com encaminhamento para controle de saúde, ASO retido temporariamente para que o candidato passe por avaliação de um especialista para posterior conduta final ou inapto.
Alteração de ASO	Em que situação podemos aproveitar os exames para uma nova emissão de ASO?	Só podemos reaproveitar os exames de ASO anterior com no máximo 90 dias da realização do mesmo, e a BR MED ainda realiza pelo menos o exame clínico. Portanto, o colaborador terá que comparecer na clínica para realizar o exame clínico e, assim, a clínica irá considerar no ASO do colaborador os exames realizados anteriormente. Caso os exames tenham passado de 90 dias, não poderemos reaproveitar os exames, e os colaboradores terão que comparecer na clínica para realizar a grade completa de acordo com sua função.
Alteração de ASO	Quando liberar uma via do ASO para o colaborador?	Se o cliente solicitar que uma via do ASO seja entregue ao colaborador no final do atendimento, liberaremos apenas em casos de exame clínico. Em casos de exames complementares, não entregaremos uma via do ASO ao colaborador porque só compartilhamos esse documento junto com o resultado dos exames. 
Campanhas	Podemos solicitar atendimentos em horário não convencional para campanha de in company?	A ideia do Serviço de Campanhas é levar a nossa estrutura e qualidade para o cliente. Assim, ficamos à disposição para negociar os melhores horários de atendimento. Entretanto, o alinhamento do horário e dia dependerá da nossa agenda.
Campanhas	Qual a estrutura necessária para realização dos atendimentos em Campanhas?	A estrutura disponibilizada é definida no momento do agendamento, levando-se em conta a ordem de serviço, que contém a quantidade de atendimentos e tipos de exames a serem realizados. Por exemplo: para realizar um atendimento com radiografia, será imprescindível mobilizar uma das nossas unidades móveis de radiologia, que são dotadas com os equipamentos necessários para realizar o exame com qualidade e segurança. Ao todo, possuímos duas unidades móveis de radiologia, tendo uma delas mais um consultório, que pode ser destinado a qualquer outra especialidade. Possuímos ainda quatro unidades móveis, cada uma com dois consultórios, que também podem ser destinados a diferentes especialidades. Quando enviamos uma das unidades móveis, orientamos o cliente a reservar um espaço plano para que possamos estacioná-las. Contamos também com o apoio do cliente para fornecer a instalação elétrica das unidades. Essas especificações são detalhadas no momento do agendamento. Contudo, nem sempre o cliente tem interesse ou necessidade no uso das unidades, ou ainda não tem espaço disponível para estacioná-las em suas dependências. Para qualquer um desses casos, solicitamos, no momento do agendamento, a estrutura mínima necessária para cada um dos postos de trabalho a serem montados: em geral, uma sala climatizada com uma mesa e duas cadeiras, uma para o examinador eoutra para o paciente. Nesse segundo cenário, pode ocorrer do cliente não ter a quantidade de salas disponíveis ou mobiliário necessário. Para contornar esse entrave, a equipe pode customizar os postos de trabalho, compartilhando-os com mais de uma especialidade. Para tanto, utilizamos biombos para dividir os espaços, assegurando, assim, a privacidade do paciente durante os atendimentos.
Campanhas	Por que um paciente pode ficar com um ou mais exames pendentes em Campanhas?	"Um exame pode ficar pendente quando o paciente não o realiza durante a campanha. Isso ocorre devido à necessidade alegada do paciente em retornar ao seu posto de trabalho, interrompendo, assim, a sua rotina de exames. Apesar da equipe sempre reiterar a necessidade de conclusão do pedido de exames, infelizmente nem sempre o colaborador consegue retornar até o final da campanha para concluir seu pedido. Diante dessa situação, nossa equipe comunica o cliente, avisando que o exame não foi realizado. Um exame também pode ficar pendente quando o colaborador apresenta uma alteração mais séria, que necessita de avaliação por parte de seu médico assistente ou por um médico especialista. Em ambos os casos, o prontuário do paciente é armazenado por 120 dias, período em que nossa equipe permanece aguardando retorno do cliente. Se não obtivermos retorno dentro do prazo, nossa equipe encerrará o caso como inconclusivo.
É importante ressaltar que os casos inconclusivos não podem ser exportados para o eSocial. Apenas casos concluídos com apto ou inapto podem ser exportados para a plataforma."
Campanhas	Quando solicitar o serviço de Campanhas?	O serviço de Campanhas pode ser ofertado a todos os clientes, em especial aos clientes que necessitam mobilizar um grande contingente. Por exemplo: realizar uma campanha de exame admissional, campanha de exame periódico, campanha de exame demissional, dentre outros procedimentos. Com isso, o cliente não precisará encaminhar seus colaboradores para uma das unidades BR MED ou uma de nossas unidades credenciadas. Com o serviço de Campanhas, o cliente terá à sua disposição a estrutura da BR MED dentro da própria empresa.
Cobrança	Como solicito a prorrogação de um boleto?	Os prazos de vencimentos são calculados de acordo com o contrato e devem ser respeitados. Entretanto, entendemos que imprevistos podem acontecer, e caso não consiga realizar o pagamento do seu boleto no prazo do vencimento, solicitamos que encaminhe um e-mail para cobranca@grupobrmed.com.br informando o título e o novo vencimento. Nossa equipe analisará a solicitação e responderá em um prazo de até 48h.
Cobrança	Por que meu sistema está bloqueado?	Caso esteja aparecendo algum pop-up de bloqueio em sua tela, pedimos que consulte o seu financeiro se há alguma pendência. Pedimos também que verifique se existem medições pendentes de aprovações ou de envio de PO’s ou BM’s com prazo superior a 10 dias. Caso não localize nenhuma inconsistência, entre em contato conosco através do e-mail cobrança@grupobrmed.com.br. Se foi realizado o pagamento de algum título vencido, o prazo para liberação do sistema é de até 48h úteis após o pagamento. Caso necessite da liberação com urgência, favor enviar e-mail com o comprovante de pagamento para cobranca@grupobrmed.com.br.
Cobrança	Meu boleto venceu e eu não paguei, posso pagar o boleto que já possuo?	Caso seu boleto já tenha vencido, talvez você não consiga realizar mais o pagamento desse título e precisará atualiza-lo. Para isso, basta acessar o link https://www.itau.com.br/servicos/boletos/atualizar/, digitar o código de barras e seu boleto será atualizado. Lembrando que os boletos pagos após o vencimento incidem de juros e multa. Caso encontre alguma dificuldade para o pagamento do título, envie um e-mail para cobranca@grupobrmed.com.br informando o título que deseja atualização.
Cobrança	Por que estou recebendo e-mail de nota fiscal vencida mas não recebi a nota?	Todos os nossos alertas de vencimento são realizados na mesma corrente de e-mail de envio do faturamento, portanto, caso não tenha recebido o seu faturamento, pedimos que sempre consulte a sua caixa de spam ou entre em contato conosco através do e-mail financeiro@grupobrmed.com.br.
Credenciamento de clínicas	Qual fluxo de credenciamento de novas clinicas?	"Para que possamos verificar com as clínicas que atuam no local, precisamos receber com antecedência do cliente as seguintes informações: grade de exames e quantitativo de atendimentos no local. Também devemos:
1-        Verificar se não existe clínica própria próximo na região solicitada;
2-        Iniciar a busca de uma clínica que atenda o padrão da BR Med e cliente (utilização de documentação própria e atendimento dentro do nosso sistema);
3-        Informar à clínica sobre quantitativo de atendimentos, quantidade de vidas e grade de exames (são informações essenciais para agilizarmos o processo de credenciamento);
4-        Solicitar as informações necessárias para o início da parceria (preços, exames realizados, prazos de liberação, informações cadastrais e documentações);
5-        Após o recebimento de todas as informações necessárias, iniciar a elaboração da minuta contratual e enviar para a clínica analisar;
6-        Cadastrar clínica no sistema;
7-        Realizar apresentação e treinamento do sistema próprio da BR MED para os atendimentos;
8-        Liberar a clínica para agendamento.
Esse processo dura, em média, de 10 a 20 dias úteis, dependendo do interesse e agilidade do parceiro.
"
Dúvida de Riscos	O que é o PMOC?	É o Plano de Manutenção, Operação e Controle. É uma forma de estabelecer os procedimentos e a periodicidade em que se deve verificar a integridade e os estados de limpeza e conservação dos sistemas de climatização. Esse plano deve ser assinado por um Engenheiro Mecânico.
Dúvida de Riscos	O que é APR?	A Análise Preliminar de Risco é um estudo prévio de uma atividade. Ele é feito para mapear e identificar possíveis riscos ou falhas no que se deseja realizar dentro da organização. Isso prevê possíveis danos e evita acidentes no ambiente de trabalho.
Dúvida de Riscos	O que é Mapa de Rota de Fuga?	Consiste no mapeamento do trajeto a ser percorrido pelo individuo no caso da necessidade de evacuação. Pode ser usado em casos de Incêndio, desabamento ou qualquer outra situação de emergência ou sinistro. Esse mapeamento deve ser sinalizado de forma vísivel e muito bem iluminada, mostrando o número do andar e a rota de saída. 
eSocial	Os colaboradores demitdos devem ser transmitidos no evento s-2240?	Se a empresa já transmitiu o colaborador no evento de demissão (S-2299), o colaborador não deverá ser transmitido no evento S-2240. Porém, se ele não foi transmitido no evento de demissão, a empresa deverá transmitir as informações do colaborador no evento S-2240.
eSocial	Como funciona o envio da carga inicial do evento s-2240 dos colaboradores afastados? 	"De acordo com o item 12.3 do Manual de Orientação do eSocial,  os trabalhadores afastados no início da obrigatoriedade dos eventos de SST no eSocial, devem seguir as seguintes regras:

a) Afastamento por gozo de férias ou licença maternidade: a carga inicial deve ser realizada no mesmo prazo previsto para os trabalhadores ativos, refletindo a condição existente do afastamento;

b) Demais afastamentos: a carga inicial precisa ser realizada somente no retorno do colaborador. Nesse caso, deve ser encaminhada até o dia 15 do mês seguinte ao retorno.     "
eSocial	Quais são as principais inconsistências relacionadas ao evento s-2240?	"As principais inconssistências são:
. O evento de admissão não foi enviado;
. O número de CPF, matrícula do eSocial ou data de admissão não estão corretos;
. O evento não foi enviado até o dia 15 do mês subsequente 
. Por padrão, o BR NET registra a data de finalização do exame admissional realizado, e o cliente ou atendente não mudou essa informação no sistema."
eSocial	Os colabordores afastados devem ser transmitidos?	"De acordo com o item 12.3 do Manual de Orientação do eSocial,  os trabalhadores afastados quando do início da obrigatoriedade dos eventos de SST no eSocial, devem seguir as seguintes regras:
a) Afastamento por gozo de férias ou licença maternidade: a carga inicial deve ser realizada no
mesmo prazo previsto para os trabalhadores ativos, refletindo a condição existente quando do
afastamento;
b) Demais afastamentos: a carga inicial somente precisar ser realizada quando do retorno do
trabalhador. Nesse caso, deve ser encaminhada até o dia 15 do mês seguinte ao retorno.     "
eSocial	O colaborador que realiza exame no final de um mês (e o ASO é liberado neste mesmo mês) porém a contratação só é realizada no mês subsequente  deve ser transmitido no próximo dia 15?	A liberação do ASO não tem relação direta com o evento S-2240, uma vez que os eventos de SST são transmitidos após o eventos de admissão (S-2200, S-2190, S-2300). Caso o ASO seja liberado no final do mês, será necessario confirmar quando será a admissão do trabalhador e, depois, transmitir o evento S-2240 até o dia 15 do mês subsequente.
eSocial	Como é feita a mensageria para o e-Social?                                                                                                                                                                                                                                                                                                                                                                                                                                  	O serviço de transmissão ou mensageria, após solicitado pelo cliente, deverá ser precificado caso o cliente da base não tenha em contrato. Após esse alinhamento comercial, aceito da proposta e alinhamento com a área de contratos, recebemos a procuração eletrônica para iniciar a prestação desse serviço. A Transmissão é feita pelo cliente para o eSocial.
eSocial	O que é a Procuração Eletrônica?	"A procuração digital/eletrônica é um procedimento feito online por meio do site do
governo (portal do e-CAC), que libera a BR MED para acessar as informações em nome de empresa. Para permitir os eventos de SST, é preciso que a empresa selecione a opção ""grupo SST do eSocial""."
eSocial	O que é o e-CAC?	"O e-CAC é o Centro Virtual de Atendimento ao Contribuinte. A procuração eletrônica/digital para
acesso ao e-CAC possibilita que a empresa passe a representação dela para a BR MED (outorgado) ou empresa no ambiente de atendimento virtual da Receita Federal (Portal e-CAC). Ao fazer o cadastro, a empresa (outorgante) deve indicar quais serviços ela quer permitir para o outorgado (prestador). Temos um passo a passo para explicar ao cliente, caso necessário. https://cav.receita.fazenda.gov.br/ecac/ "
eSocial	Autônomos entram nos eventos de SST?	"Não, os eventos de Saúde e Segurança do Trabalho são apenas para os trabalhadores que possuem contrato tipo CLT.
Os eventos de SST surgem para que as empresas apliquem as legislações voltadas à saúde e segurança no trabalho, elaborando e implementando os programas de Saúde e Segurança do Trabalho. A partir de 2023, domésticos, empresas sem empregados e MEI não entram nos eventos.
"
eSocial	Temos uma funcionária em licença de maternidade, ela está como ativa mas não consegui enviar o evento S- 2240 dela, não aparece na lista de funcionários.	Nesse caso a empregada gestante é afastada de sua atividade ,deixando de  estar exposta a agentes nocivos. O declarante deve enviar esse evento informando o código 09.01.001. Quando ocorrer o retorno da empregada após a licença maternidade e período de lactação, caso ela volte a trabalhar exposta a agentes nocivos, esse evento deve ser novamente enviado para informar a condição de exposição.
eSocial	Por que o envento s-2210 não será enviado pela BR MED?	Devido à baixa ocorrência, esse evento não foi priorizado. Lembrando que a coleta das informações deverá ser de maior responsabilidade por parte do cliente, pois o mesmo detém dos dados do acidente de trabalho..
eSocial	Quais são os grupos do eSocial? Como saber a qual grupo a empresa pertence?	"As empresas obrigadas ao eSocial Saúde e Segurança do Trabalho são divididas por grupos. As empresas dos grupos 1, 2, 3 e 4 estão obrigadas aos eventos de Saúde e Segurança do Trabalho. 
Grupo 1: Empresas com faturamento superior a R$ 78 milhões em 2016;
Grupo 2: Entidades empresariais NÃO optantes pelo Simples Nacional, com faturamento inferior
a R$78 milhões em 2016; 
Grupo 3: Empregadores optantes pelo Simples Nacional, empregadores pessoa física (exceto doméstico), produtor rural PF e entidades sem fins lucrativos; 
Grupo 4: Órgãos públicos e organizações internacionais."
eSocial	O que é exame inicial e sequencial do ASO para o s-2220?	"O evento S-2220 detalha as informações relativas ao monitoramento da saúde do trabalhador (avaliações clínicas) durante todo o vínculo laboral com o declarante, por trabalhador, bem como os exames complementares aos quais foi submetido, com respectivas datas e conclusões.
Deve ser entendido como exame inicial o primeiro de cada tipo que foi realizado no declarante, ainda que antes da obrigatoriedade dos eventos de Saúde e Segurança do Trabalho do e-Social. Nesse caso, o exame a ser informado após a obrigatoriedade dos eventos de SST no eSocial é o sequencial. Dessa forma, não há perda do histórico da saúde ocupacional do trabalhador. Assim, caso o primeiro exame complementar do trabalhador no declarante seja realizado após a obrigatoriedade dos eventos de SST no eSocial, esse deve ser registrado como inicial.
Vale comentar que não há necessidade de “carga inicial” das informações do S-2220, uma vez que somente serão registrados os ASOs com data de emissão posterior ao início da obrigatoriedade desse evento.
"
eSocial	Riscos não contidos na Tabela 24 devem ser enviados no evento s-2240?                      	Não. Empregadores que não possuem empregados expostos a agentes nocivos (químicos, físicos, biológicos) previstos na Tabela 24 do eSocial estão desobrigados do envio S-2240.
Upsell	Qual o fluxo para solicitaçãoes de proposta de upselling?	O time de Customer Success deverá formalizar por email para vendas@grupobrmed.com.br descrevendo o nome do cliente, tipo de serviço e escopo da proposta que o cliente deseja precificar. 
eSocial	Riscos quantificados abaixo do limite de tolerância devem ser enviados no evento s-2240?	Não, nesses casos os eventos serão alimentados como ausência de riscos. 
eSocial	É obrigatório informar o CA no evento S-2240?	Sim, o CA é um campo obrigatório no evento s-2240, a partir dos layouts S-1.0 NT 06/22 e versão S-1.1.
eSocial	A descrição do EPI é obrigatória no evento S-2240?	Não, a descrição do EPI não é obrigatória nos layouts S-1.0 NT 06/22. Na versão S-1.1, o campo da descrição do EPI passa a não existir mais, sendo o CA o único identificador descritivo do EPI.
eSocial	Quando não houver riscos no LTCAT, devo enviar o S-2240?	Mesmo com ausência de riscos no LTCAT, o evento s-2240 deve ser informado para todos os funcionários com o código "09.01.001 Ausência de agente nocivo ou de atividades previstas no Anexo IV do Decreto 3.048/1999"
eSocial	Qual o prazo de envio dos eventos?	"S-2220: até o dia 15 do mês subsequente à realização da admissão ou exame ocupacional.
S-2240: até o dia 15 do mês subsequente à realização da admissão, alteração nos fatores ambientais ou data da obrigatoriedade (carga inicial)."
eSocial	O que é uma retificação?	É todo e qualquer tipo de ajuste de cadastro que precisa ser feito referente ao eSocial. Lembramos que é importante informar o número do recibo anterior para retificação.
